Deficit	medcode
Hearing impairment	5967
Hearing impairment	14805
Hearing impairment	1681
Hearing impairment	1774
Hearing impairment	4035
Hearing impairment	17699
Hearing impairment	42893
Hearing impairment	30355
Hearing impairment	20715
Hearing impairment	10170
Hearing impairment	8441
Hearing impairment	4445
Hearing impairment	5581
Hearing impairment	66126
Hearing impairment	9016
Hearing impairment	10479
Hearing impairment	11502
Hearing impairment	27633
Hearing impairment	1752
Hearing impairment	412
Hearing impairment	8941
Hearing impairment	536
Hearing impairment	6846
Hearing impairment	47440
Hearing impairment	10112
Hearing impairment	14983
Hearing impairment	19084
Hearing impairment	44282
Hearing impairment	686
Hearing impairment	96245
Hearing impairment	2876
