Deficit	medcode
Parkinsonism & tremor	10718
Parkinsonism & tremor	53655
Parkinsonism & tremor	59824
Parkinsonism & tremor	52589
Parkinsonism & tremor	7572
Parkinsonism & tremor	96860
Parkinsonism & tremor	4321
Parkinsonism & tremor	1691
Parkinsonism & tremor	33544
Parkinsonism & tremor	24001
Parkinsonism & tremor	26181
Parkinsonism & tremor	14912
Parkinsonism & tremor	35006
Parkinsonism & tremor	8956
Parkinsonism & tremor	105947
Parkinsonism & tremor	97170
Parkinsonism & tremor	86062
Parkinsonism & tremor	72879
Parkinsonism & tremor	2508
Parkinsonism & tremor	62724
Parkinsonism & tremor	68336
