Deficit	medcode
Urinary incontinence	15918
Urinary incontinence	5196
Urinary incontinence	6161
Urinary incontinence	1929
Urinary incontinence	3887
Urinary incontinence	13421
Urinary incontinence	13422
Urinary incontinence	98767
Urinary incontinence	94021
Urinary incontinence	23915
Urinary incontinence	30981
Urinary incontinence	48601
Urinary incontinence	25899
Urinary incontinence	3182
Urinary incontinence	17620
Urinary incontinence	52763
Urinary incontinence	3283
Urinary incontinence	31220
Urinary incontinence	17320
Urinary incontinence	15400
