MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	Deficit
257523016	Ferritin level low	42R41	42R4100	165626000	257523016	NA	Anaemia & haematinic deficiency
257553011	Serum vitamin B12 low	42T2	42T2.00	165645009	257553011	NA	Anaemia & haematinic deficiency
291252015	Refractory anaemia without sideroblasts, so stated	B9370	B937000	189509003	291252015	NA	Anaemia & haematinic deficiency
293006011	Folic acid deficiency	C2620	C262000	190633005	293006011	NA	Anaemia & haematinic deficiency
293008012	Vitamin B12 deficiency	C2621	C262100	190634004	293008012	NA	Anaemia & haematinic deficiency
293864013	Iron deficiency anaemia due to dietary causes	D001	D001.00	191128004	293864013	NA	Anaemia & haematinic deficiency
293884012	Chlorotic anaemia	D00z1	D00z100	87522002	507623010	NA	Anaemia & haematinic deficiency
293885013	Idiopathic hypochromic anaemia	D00z2	D00z200	191136008	293885013	NA	Anaemia & haematinic deficiency
293948018	Combined B12 and folate deficiency anaemia	D0130	D013000	191154007	293948018	NA	Anaemia & haematinic deficiency
294093015	Primary cold-type haemolytic anaemia	D1100	D110000	191210005	294093015	NA	Anaemia & haematinic deficiency
294094014	Primary warm-type haemolytic anaemia	D1101	D110100	191211009	294094014	NA	Anaemia & haematinic deficiency
294097019	Secondary cold-type haemolytic anaemia	D1102	D110200	191212002	294097019	NA	Anaemia & haematinic deficiency
294105019	Non-autoimmune haemolytic anaemia	D111	D111.00	191216004	294105019	NA	Anaemia & haematinic deficiency
294106018	Mechanical haemolytic anaemia	D1110	D111000	191217008	294106018	NA	Anaemia & haematinic deficiency
294190019	Aplastic anaemia due to chronic disease	D2010	D201000	191244003	294190019	NA	Anaemia & haematinic deficiency
294198014	Aplastic anaemia due to infection	D2012	D201200	191246001	294198014	NA	Anaemia & haematinic deficiency
294203018	Aplastic anaemia due to toxic cause	D2014	D201400	191248000	294203018	NA	Anaemia & haematinic deficiency
294211011	Transient hypoplastic anaemia	D2017	D201700	191251007	294211011	NA	Anaemia & haematinic deficiency
294223017	Idiopathic aplastic anaemia	D204	D204.00	191256002	294223017	NA	Anaemia & haematinic deficiency
294232015	Secondary sideroblastic anaemia due to disease	D2103	D210300	191261000	294232015	NA	Anaemia & haematinic deficiency
294235018	Secondary sideroblastic anaemia due to drugs and toxins	D2104	D210400	191262007	294235018	NA	Anaemia & haematinic deficiency
294245016	Anaemia in neoplastic disease	D212	D212.00	191265009	294245016	NA	Anaemia & haematinic deficiency
294251014	Chronic anaemia	D214	D214.00	191268006	294251014	NA	Anaemia & haematinic deficiency
303401012	Chronic active hepatitis	J6141	J614100	197284004	303401012	NA	Anaemia & haematinic deficiency
344913019	Refractory anaemia	D213	D213.00	109996008	344913019	NA	Anaemia & haematinic deficiency
251611012	H/O: anaemia - iron deficient	1451	1451.00	161456009	251611012	NA	Anaemia & haematinic deficiency
251615015	H/O: haemolytic anaemia	1453	1453.00	161458005	251615015	NA	Anaemia & haematinic deficiency
255522013	O/E - clinically anaemic	2C23	2C23.00	164142002	255522013	NA	Anaemia & haematinic deficiency
397826011	H/O: blood disorder	145	145..00	266992002	397826011	NA	Anaemia & haematinic deficiency
399193019	Deficiency anaemias	D0	D0...00	267513007	399193019	NA	Anaemia & haematinic deficiency
399201018	Vitamin B12 deficiency anaemia due to dietary causes	D0110	D011000	267517008	399201018	NA	Anaemia & haematinic deficiency
399217012	Constitutional aplastic anaemia with malformation	D2002	D200200	267524009	399217012	NA	Anaemia & haematinic deficiency
399223019	Aplastic anaemia due to drugs	D2011	D201100	267527002	399223019	NA	Anaemia & haematinic deficiency
399228011	Acute posthaemorrhagic anaemia	D211	D211.00	267530009	399228011	NA	Anaemia & haematinic deficiency
448863016	Aplastic anaemia	D20	D20..00	306058006	448863016	NA	Anaemia & haematinic deficiency
451077018	Anaemia in ovarian carcinoma	D2120	D212000	307726001	451077018	NA	Anaemia & haematinic deficiency
453221019	Drug-induced autoimmune haemolytic anaemia	D1104	D110400	309742004	453221019	NA	Anaemia & haematinic deficiency
454255014	Anaemia secondary to renal failure	D215	D215.00	310647000	454255014	NA	Anaemia & haematinic deficiency
