Deficit	medcode
Urinary system disease	11837
Urinary system disease	25243
Urinary system disease	6724
Urinary system disease	840
Urinary system disease	28490
Urinary system disease	532
Urinary system disease	5906
Urinary system disease	4103
Urinary system disease	24106
Urinary system disease	781
Urinary system disease	16758
Urinary system disease	2568
Urinary system disease	10645
Urinary system disease	1353
Urinary system disease	6676
Urinary system disease	5993
Urinary system disease	887
Urinary system disease	1289
Urinary system disease	10515
Urinary system disease	97002
Urinary system disease	150
Urinary system disease	20357
Urinary system disease	7232
Urinary system disease	3045
Urinary system disease	45854
Urinary system disease	20082
Urinary system disease	4598
Urinary system disease	1052
Urinary system disease	3002
Urinary system disease	24389
