Deficit	medcode
Hypotension / syncope	18564
Hypotension / syncope	33766
Hypotension / syncope	16267
Hypotension / syncope	5284
Hypotension / syncope	163
Hypotension / syncope	8656
Hypotension / syncope	8956
Hypotension / syncope	3756
Hypotension / syncope	8598
Hypotension / syncope	59609
Hypotension / syncope	32338
Hypotension / syncope	32609
Hypotension / syncope	14856
Hypotension / syncope	2307
Hypotension / syncope	184
Hypotension / syncope	1405
Hypotension / syncope	1812
Hypotension / syncope	4291
