Deficit	medcode
Peripheral vascular disease	13327
Peripheral vascular disease	13321
Peripheral vascular disease	13324
Peripheral vascular disease	13343
Peripheral vascular disease	35399
Peripheral vascular disease	60499
Peripheral vascular disease	54212
Peripheral vascular disease	69993
Peripheral vascular disease	37806
Peripheral vascular disease	11171
Peripheral vascular disease	1318
Peripheral vascular disease	5943
Peripheral vascular disease	3530
Peripheral vascular disease	2760
Peripheral vascular disease	24327
